Year,Recorded crimes,Crime rate per 100k
1993,18145,246
1994,18553,248
1995,19958,264
1996,17528,229
1997,16402,213
1998,14937,192
1999,14400,183
2000,13958,173
2001,14607,183
2002,15520,193
2003,15206,187
2004,16810,205
2005,18049,212
2006,19045,224
2007,18667,217
2008,21692,253
2009,22830,259
2010,23010,254
2011,24263,268
2012,21897,239
2013,22381,241
2014,24607,261
2015,26916,279
2016,26611,271
2017,26113,265
2018,26381,265
2019,26672,269
2020,26004,260
2021,31131,310
2022,36494,361
2023,36811,363
2024,33379,327
